iterations,fitness,time
0,3073.93349312,0.000720999999999
10,3089.24108845,0.00144400000001
20,3312.91066051,0.00227100000001
30,3479.25283821,0.00291800000001
40,3579.84048834,0.003478
50,3572.18016977,0.004035
60,3740.27563469,0.004808
70,3680.1260512,0.006122
80,3662.22414215,0.00671200000001
90,3538.33595287,0.00736400000001
100,3549.82800027,0.00857000000001
110,3566.04232348,0.00917700000001
120,3590.19389136,0.00972300000001
130,3610.00105734,0.014498
140,3555.85072107,0.015224
150,3632.34745009,0.015941
160,3578.27135427,0.021612
170,3509.02540642,0.022246
180,3512.88556565,0.022878
190,3506.20217649,0.023501
200,3532.06081954,0.024101
210,3634.97903524,0.024803
220,3520.1468341,0.025414
230,3552.0379425,0.026162
240,3594.87632663,0.02689
250,3627.2275748,0.027758
260,3628.23631491,0.028495
270,3721.89696546,0.029231
280,3723.08882914,0.029942
290,3735.18163685,0.030609
300,3732.4571042,0.031313
310,3750.03609277,0.03189
320,3767.19594624,0.032757
330,3749.40858167,0.033503
340,3794.52819993,0.034107
350,3795.74532791,0.034756
360,3764.75225994,0.03553
370,3886.49861394,0.036348
380,3752.4204744,0.037215
390,3809.73501374,0.037865
400,3838.41081529,0.038486
410,3812.85803384,0.039306
420,3817.14854611,0.039945
430,3793.25031795,0.040758
440,3815.43714681,0.04142
450,3802.94742688,0.042028
460,3843.72465413,0.043556
470,3815.84561177,0.044769
480,3811.16877889,0.045464
490,3791.98586005,0.046401
500,3798.56148878,0.047002
510,3821.28046456,0.047539
520,3852.21632521,0.048087
530,3826.43064396,0.048625
540,3900.45117088,0.049176
550,3817.4827402,0.049716
560,3731.87665278,0.050463
570,3887.57684455,0.051053
580,3874.73715961,0.051642
590,3803.63593438,0.052226
600,3905.4850054,0.052799
610,3831.14866848,0.0534
620,3887.30920173,0.05399
630,3934.51142219,0.056568
640,3864.6602146,0.057164
650,3856.98193597,0.05784
660,3883.57914427,0.058422
670,3788.22088505,0.059007
680,3810.98149448,0.059591
690,3807.07155197,0.060158
700,3850.70997359,0.06073
710,3771.40594713,0.061531
720,3706.7147031,0.062109
730,3781.10774332,0.063137
740,3806.46869099,0.063987
750,3804.84601079,0.064585
760,3789.23575538,0.065134
770,3824.44972695,0.065706
780,3750.97462894,0.066354
790,3794.47412402,0.067083
800,3740.06827318,0.067713
810,3744.32046672,0.068296
820,3779.66043475,0.071263
830,3727.04555836,0.072183
840,3698.6090795,0.072977
850,3777.81696056,0.073782
860,3772.3353784,0.074382
870,3874.39762848,0.074975
880,3891.83210128,0.075547
890,3846.73693531,0.076162
900,3858.055026,0.076959
910,3962.48425687,0.077797
920,3929.06867924,0.078541
930,3875.74883422,0.079376
940,3819.99535619,0.08073
950,3881.08107574,0.081391
960,3845.20942493,0.082002
970,3866.47676777,0.082733
980,3905.79168714,0.084493
990,3836.20232246,0.085272
1000,3850.04321389,0.086026
1010,3880.90536868,0.08687
1020,3814.41969163,0.087711
1030,3918.05455466,0.088544
1040,3815.35765423,0.089355
1050,3847.44581307,0.090161
1060,3752.93426409,0.095098
1070,3796.12918384,0.095886
1080,3895.87330201,0.096719
1090,3852.83400231,0.097558
1100,3856.89427923,0.098369
1110,3889.33580371,0.099167
1120,3896.80206357,0.099969
1130,3874.24298131,0.100561
1140,3929.24358806,0.101448
1150,3929.24358806,0.102038
1160,3914.20671051,0.102616
1170,3972.4478254,0.10319
1180,3889.33580371,0.103722
1190,3924.83226116,0.104285
1200,3923.95740687,0.104926
1210,3860.34000545,0.105455
1220,3941.9167996,0.106256
1230,3927.67435788,0.106821
1240,4009.23473517,0.107469
1250,3953.59479291,0.109264
1260,4038.28578547,0.109977
1270,3928.13257619,0.110716
1280,4022.31130631,0.111325
1290,3949.17414793,0.1119
1300,3968.25103076,0.112614
1310,3986.6162078,0.113161
1320,3977.52631679,0.113742
1330,3998.18662555,0.121115
1340,3951.04724163,0.121957
1350,3962.13774166,0.122769
1360,3956.17218807,0.12332
1370,3913.74793507,0.123901
1380,4003.99558121,0.124475
1390,3998.80736128,0.125025
1400,3997.98846853,0.125909
1410,4051.91351571,0.126722
1420,4084.44988197,0.127536
1430,4020.62505329,0.128348
1440,4055.11506616,0.129132
1450,4045.15427831,0.129918
1460,4012.89662655,0.130551
1470,3995.18087983,0.131336
1480,3985.08700193,0.132354
1490,4056.49525813,0.133078
1500,3938.64541263,0.133714
1510,3995.33358794,0.134349
1520,4017.28121378,0.135185
1530,4013.99090474,0.135785
1540,3937.79772961,0.136439
1550,4063.35884991,0.137149
1560,4035.02085536,0.137823
1570,4004.14613285,0.138622
1580,4045.09166877,0.13922
1590,4080.27714538,0.139966
1600,4041.59931866,0.140681
1610,3996.01412368,0.141272
1620,4003.25934749,0.14187
1630,3973.89214805,0.142516
1640,3986.88973427,0.143104
1650,3988.56584688,0.143863
1660,3915.52267648,0.144491
1670,4008.3909213,0.145119
1680,3977.0806575,0.145703
1690,4010.75785035,0.146329
1700,3991.33137535,0.146938
1710,3905.46420934,0.147561
1720,3908.70263805,0.148258
1730,3940.85025072,0.148898
1740,4008.64318266,0.152098
1750,3844.23475445,0.153009
1760,3956.23863341,0.153839
1770,3961.61080181,0.154656
1780,3937.45501032,0.155397
1790,3868.73633123,0.156184
1800,3900.89065086,0.157117
1810,3956.72909462,0.157872
1820,3956.74399912,0.158613
1830,3935.58896629,0.159399
1840,3946.45667846,0.16039
1850,4058.34463649,0.161148
1860,4091.81978266,0.163511
1870,3977.79455123,0.164221
1880,4040.03549023,0.165047
1890,4020.10329172,0.165871
1900,3991.87948559,0.166635
1910,4005.34007452,0.167353
1920,3940.20869638,0.168113
1930,3957.52704073,0.16889
1940,3960.32662784,0.169814
1950,3950.15344737,0.170698
1960,3881.28646278,0.171535
1970,3978.31900278,0.172387
1980,3870.96893333,0.173263
1990,3861.56594705,0.174051
2000,3930.28988118,0.174815
2010,3855.48436344,0.175759
2020,3884.68511911,0.176544
2030,3943.73292617,0.17868
2040,3915.91108131,0.179435
2050,3823.73628899,0.180212
2060,3903.9087171,0.181134
2070,3954.50885927,0.182015
2080,3931.03094825,0.18261
2090,3867.13232425,0.183407
2100,3836.08682096,0.184196
2110,3905.26129001,0.187435
2120,3910.64298892,0.188177
2130,3914.63112088,0.188923
2140,3984.82104296,0.189672
2150,3911.55645583,0.191952
2160,3867.03331111,0.192733
2170,3879.59526722,0.193608
2180,3942.28534002,0.195946
2190,3998.51245188,0.196663
2200,3949.17856374,0.197411
2210,3927.55875092,0.198152
2220,3931.51659244,0.198901
2230,3928.71502997,0.199638
2240,4005.89044688,0.200416
2250,3981.47812353,0.201201
2260,3962.05454591,0.201987
2270,3984.60558711,0.202869
2280,4049.91163021,0.203651
2290,4030.89188146,0.204554
2300,4094.96974021,0.205458
2310,4033.04385721,0.206329
2320,4065.56072026,0.207101
2330,3993.82595398,0.217628
2340,4026.90407771,0.218375
2350,4014.71458991,0.219495
2360,4011.62470442,0.224557
2370,4040.24318388,0.225391
2380,3968.65755089,0.226256
2390,4001.06219019,0.227172
2400,4030.32819604,0.22806
2410,4020.41719958,0.232019
2420,4019.38237791,0.232854
2430,4040.87079723,0.238524
2440,4033.47096528,0.239393
2450,4024.76539014,0.24031
2460,4019.38237791,0.241975
2470,4038.8079511,0.243147
2480,4034.44171415,0.244274
2490,4005.71444264,0.246312
2500,4048.00813844,0.247255
2510,4020.66515082,0.248717
2520,4020.834728,0.249568
2530,3992.89823309,0.2504
2540,4012.73343003,0.251347
2550,4039.78406065,0.252778
2560,4057.47148057,0.253716
2570,4097.62144943,0.25507
2580,4059.25548357,0.256085
2590,4065.30434092,0.257037
2600,4035.63901842,0.258559
2610,4028.32925886,0.259434
2620,4070.37046429,0.260229
2630,4085.60674314,0.261749
2640,4082.84833277,0.262644
2650,4082.47721526,0.263264
2660,4113.01964448,0.263875
2670,4065.65725835,0.264479
2680,4063.1873885,0.265076
2690,4081.58808306,0.267396
2700,4142.35215141,0.268291
2710,4119.35255034,0.269076
2720,4148.9320109,0.269862
2730,4137.79400871,0.270471
2740,4101.14622521,0.271093
2750,4124.91129508,0.271726
2760,4085.83245288,0.272361
2770,4049.92657879,0.276027
2780,4092.07834397,0.276944
2790,4072.70018143,0.277551
2800,4053.89290193,0.278116
2810,4047.00053696,0.278689
2820,4118.26133044,0.279233
2830,4089.08517535,0.279786
2840,4044.37655938,0.280327
2850,4127.3247305,0.280881
2860,4120.65299541,0.288557
2870,4084.29646795,0.28989
2880,4071.38138587,0.290715
2890,4126.95413709,0.292222
2900,4077.08530433,0.29283
2910,4003.47986669,0.29344
2920,4071.20639151,0.294046
2930,4073.97872404,0.294654
2940,4026.2517706,0.295257
2950,4075.15904004,0.29615
2960,4102.10224655,0.296744
2970,4074.37157521,0.297351
2980,4025.64211687,0.297933
2990,4004.16104613,0.299729
3000,4110.78281903,0.300414
3010,3973.11147368,0.301054
3020,3970.70821614,0.301619
3030,3971.02374637,0.302143
3040,3997.07445975,0.302666
3050,4011.85257074,0.303189
3060,4035.08375494,0.303722
3070,3985.83179686,0.304282
3080,4020.98986761,0.305003
3090,4002.69670968,0.305807
3100,3996.64785233,0.307434
3110,4020.79220101,0.308242
3120,3999.46755782,0.309061
3130,4009.93731191,0.309845
3140,4041.45460686,0.310413
3150,4036.40666538,0.310977
3160,4060.03775163,0.311546
3170,4034.18056598,0.314293
3180,3985.57635379,0.315103
3190,4001.64127573,0.315899
3200,4018.46962506,0.316707
3210,4002.57638863,0.317337
3220,4088.91457861,0.317866
3230,4071.21659148,0.318769
3240,4101.50651888,0.320985
3250,4021.11775801,0.321565
3260,4028.56859348,0.322127
3270,4062.66278101,0.322793
3280,4082.51960691,0.323335
3290,4080.28479011,0.324069
3300,4094.9343638,0.324631
3310,4100.39008373,0.32537
3320,4011.82688275,0.325934
3330,4042.25771934,0.326538
3340,4013.33487087,0.327407
3350,4004.26665138,0.328369
3360,4004.26711089,0.32899
3370,3976.89932323,0.329828
3380,4010.02039985,0.330616
3390,4003.85497421,0.331418
3400,4023.05573754,0.33219
3410,4019.38711412,0.33296
3420,3957.03491946,0.334092
3430,3985.74338612,0.334868
3440,4003.30175255,0.335626
3450,3989.3051275,0.336209
3460,3903.33055298,0.336758
3470,3934.31661287,0.337317
3480,4003.84779447,0.337871
3490,3939.33116889,0.33843
3500,3992.94408785,0.338964
3510,3986.15182725,0.339506
3520,4059.69677749,0.340028
3530,4030.94018825,0.343714
3540,4057.5874233,0.34439
3550,4031.03737655,0.344992
3560,3996.22230354,0.345611
3570,4016.23553432,0.346217
3580,4115.48489853,0.346967
3590,4060.09967634,0.347864
3600,4069.49758852,0.348585
3610,4109.41753824,0.349425
3620,4166.93454739,0.350252
3630,4147.24361388,0.351084
3640,4198.60212193,0.356889
3650,4173.70685772,0.357767
3660,4212.0677054,0.361395
3670,4188.38060522,0.362334
3680,4188.16684158,0.363262
3690,4238.81019189,0.364079
3700,4175.50645909,0.364928
3710,4177.03909274,0.365637
3720,4211.48695035,0.366451
3730,4248.63555811,0.371983
3740,4187.75968631,0.372815
3750,4279.91217772,0.374553
3760,4277.65007606,0.375836
3770,4237.36856457,0.376554
3780,4213.31032748,0.378041
3790,4224.19257796,0.37882
3800,4213.1009072,0.379597
3810,4240.6415261,0.385795
3820,4208.96777441,0.386636
3830,4251.88562955,0.387345
3840,4238.56272081,0.392274
3850,4206.46020554,0.393368
3860,4191.94370508,0.394194
3870,4255.28406989,0.395003
3880,4256.58427661,0.395771
3890,4229.99615729,0.396547
3900,4228.51896692,0.403793
3910,4203.10359,0.404617
3920,4178.34089135,0.40543
3930,4179.45275278,0.406195
3940,4096.03396251,0.407252
3950,4193.80451782,0.408022
3960,4154.44266147,0.409221
3970,4059.77975192,0.410056
3980,4034.86878607,0.410809
3990,4130.75693018,0.411569
4000,4073.12857086,0.412468
4010,4105.82827642,0.413358
4020,4116.89502453,0.414124
4030,4130.64162696,0.416965
4040,4130.64162696,0.417747
4050,4109.88274456,0.418475
4060,4157.31796896,0.419219
4070,4147.78193342,0.420042
4080,4165.08292352,0.421037
4090,4156.75926476,0.421787
4100,4160.9452947,0.422583
4110,4201.6723905,0.432344
4120,4170.43026082,0.433181
4130,4145.24015444,0.433912
4140,4164.4093271,0.434677
4150,4089.32987431,0.43547
4160,4203.66584384,0.436242
4170,4127.13872789,0.43742
4180,4136.77630138,0.438801
4190,4221.82357638,0.439552
4200,4192.090587,0.440356
4210,4147.14093088,0.44121
4220,4167.53360216,0.44199
4230,4171.70765794,0.442875
4240,4196.01800622,0.443743
4250,4228.67581401,0.444507
4260,4224.29944169,0.445286
4270,4231.49473995,0.446015
4280,4209.71690956,0.446851
4290,4235.59175122,0.447609
4300,4227.23521894,0.448698
4310,4205.03216159,0.449542
4320,4210.90931964,0.450398
4330,4201.76175057,0.451198
4340,4196.86305393,0.452035
