iterations,fitness,time
0,4054.80213415,0.023938
10,4265.70493859,0.05563
20,4289.49245784,0.080025
30,4252.45972214,0.099835
40,4277.37178837,0.133863
50,4265.70493859,0.153182
60,4277.37178837,0.168527
70,4289.49245784,0.197298
80,4281.38768685,0.224389
90,4289.49245784,0.250079
100,4315.8468028,0.276719
110,4295.61163134,0.30326
120,4350.96911423,0.333681
130,4323.03261931,0.35587
140,4315.8468028,0.377439
150,4291.97280108,0.401061
160,4301.71503271,0.4292
170,4307.74203181,0.450065
180,4286.25933908,0.482854
190,4292.05928355,0.529892
200,4276.40380799,0.582366
210,4315.8468028,0.608597
220,4323.55211764,0.651739
230,4295.61163134,0.689193
240,4285.70063488,0.72995
250,4276.90704683,0.759394
260,4276.90704683,0.782638
270,4323.03261931,0.804318
280,4295.61163134,0.826571
290,4276.40380799,0.840717
300,4315.8468028,0.858814
310,4295.61562273,0.881714
320,4315.8468028,0.908088
330,4292.05928355,0.936385
340,4275.78963842,0.985996
350,4275.78963842,1.061553
360,4275.78963842,1.090911
370,4285.70063488,1.12005
380,4276.13457898,1.144929
390,4285.70063488,1.174387
400,4275.78963842,1.204013
410,4275.78963842,1.234742
420,4323.03261931,1.267926
430,4276.47951954,1.304078
440,4295.61562273,1.336815
450,4308.08697237,1.363986
460,4295.61163134,1.388182
470,4275.78963842,1.406074
480,4323.03261931,1.431123
490,4275.78963842,1.44514
500,4275.78963842,1.459559
510,4303.72613333,1.474791
520,4315.8468028,1.495938
530,4295.61163134,1.510415
540,4286.31480445,1.534536
550,4276.90704683,1.554162
560,4323.03261931,1.583585
570,4295.61562273,1.606754
580,4306.62643593,1.632159
590,4295.61562273,1.648297
600,4275.78963842,1.668797
610,4323.03261931,1.710513
620,4295.61562273,1.728329
630,4275.78963842,1.75308
640,4276.90704683,1.766447
650,4316.19174336,1.781378
660,4317.86174285,1.800409
670,4278.8140671,1.818055
680,4315.8468028,1.83944
690,4276.47951954,1.871918
700,4275.78963842,1.892079
710,4292.05928355,1.912128
720,4275.78963842,1.938746
730,4307.18332761,1.955007
740,4295.61562273,1.972267
750,4279.9314755,1.991602
760,4278.8140671,2.005803
770,4305.40224594,2.020566
780,4275.78963842,2.048049
790,4292.05928355,2.061255
800,4315.8468028,2.077804
810,4275.99436161,2.092065
820,4295.61562273,2.113211
830,4275.78963842,2.128542
840,4323.03261931,2.150787
850,4303.72613333,2.165987
860,4307.74203181,2.180381
870,4276.40380799,2.201787
880,4276.40380799,2.218584
890,4323.03261931,2.232043
900,4275.78963842,2.246936
910,4303.72613333,2.266858
920,4295.61163134,2.280328
930,4315.8468028,2.296439
940,4307.74203181,2.317411
950,4315.8468028,2.336636
960,4276.13457898,2.350167
970,4276.13457898,2.36447
980,4275.78963842,2.381822
990,4303.72613333,2.398927
1000,4295.61163134,2.412336
1010,4277.46575103,2.426097
1020,4295.61163134,2.452255
1030,4307.74203181,2.464309
1040,4278.8140671,2.489398
1050,4275.78963842,2.50921
1060,4275.78963842,2.537965
1070,4292.05928355,2.554549
1080,4303.72613333,2.572702
1090,4278.8140671,2.601473
1100,4323.8970582,2.633688
1110,4316.19174336,2.653033
1120,4316.19174336,2.678322
1130,4363.08978369,2.702209
1140,4316.405507,2.726415
1150,4316.25624918,2.752017
1160,4325.75779926,2.767129
1170,4363.08978369,2.784408
1180,4325.75779926,2.799802
1190,4315.8468028,2.816106
1200,4366.11421237,2.839985
1210,4316.405507,2.851749
1220,4316.19174336,2.879218
1230,4316.05152599,2.912032
1240,4328.78222794,2.926897
1250,4316.405507,2.943374
1260,4325.75779926,2.957093
1270,4325.75779926,2.970637
1280,4315.8468028,2.987964
1290,4343.78329771,3.003869
1300,4325.75779926,3.021421
1310,4316.46097237,3.03624
1320,4363.08978369,3.069916
1330,4318.87123148,3.082359
1340,4316.405507,3.101213
1350,4350.82362487,3.115932
1360,4347.79919619,3.132531
1370,4325.75779926,3.149657
1380,4332.11644793,3.169851
1390,4320.22400404,3.181597
1400,4332.11644793,3.207605
1410,4316.05152599,3.22331
1420,4316.46097237,3.243618
1430,4363.08978369,3.256353
1440,4315.8468028,3.274184
1450,4335.67278711,3.296464
1460,4318.87123148,3.310684
1470,4315.8468028,3.329104
1480,4316.96421121,3.346665
1490,4325.75779926,3.361708
1500,4318.87123148,3.381254
1510,4315.8468028,3.403305
1520,4317.16893439,3.424125
1530,4335.67278711,3.450173
1540,4347.79919619,3.465185
1550,4347.79919619,3.479974
1560,4363.08978369,3.493966
1570,4315.8468028,3.520625
1580,4347.79919619,3.540664
1590,4316.46097237,3.560508
1600,4347.79919619,3.599261
1610,4316.96421121,3.625551
1620,4343.78329771,3.642996
1630,4316.05152599,3.658218
1640,4315.8468028,3.682264
1650,4324.35149337,3.722609
1660,4335.67278711,3.758234
1670,4318.87123148,3.773549
1680,4363.08978369,3.787316
1690,4315.8468028,3.802739
1700,4316.05152599,3.816325
1710,4363.08978369,3.834387
1720,4347.79919619,3.850918
1730,4363.08978369,3.864469
1740,4315.8468028,3.881119
1750,4315.8468028,3.89697
1760,4363.08978369,3.911506
1770,4325.75779926,3.926162
1780,4315.8468028,3.944846
1790,4316.05152599,3.959508
1800,4347.79919619,3.97622
1810,4363.08978369,3.995495
1820,4316.46097237,4.010294
1830,4363.08978369,4.028037
1840,4315.8468028,4.047738
1850,4343.78329771,4.063259
1860,4316.96421121,4.078702
1870,4335.67278711,4.09193
1880,4315.8468028,4.110169
1890,4343.78329771,4.126078
1900,4316.46097237,4.144369
1910,4343.78329771,4.172021
1920,4363.60928202,4.186314
1930,4315.8468028,4.206612
1940,4316.96421121,4.221424
1950,4343.78329771,4.246222
1960,4315.8468028,4.26221
1970,4315.8468028,4.281109
1980,4347.79919619,4.297777
1990,4318.87123148,4.316434
2000,4315.8468028,4.328899
2010,4315.8468028,4.351146
2020,4335.67278711,4.362959
2030,4315.8468028,4.382451
2040,4315.8468028,4.405053
2050,4363.08978369,4.416745
2060,4315.8468028,4.432831
2070,4332.11644793,4.44679
2080,4363.08978369,4.461195
2090,4343.78329771,4.47776
2100,4315.8468028,4.494908
2110,4335.67278711,4.512547
2120,4325.75779926,4.533309
2130,4318.87123148,4.545745
2140,4315.8468028,4.565043
2150,4325.75779926,4.586912
2160,4315.8468028,4.617042
2170,4315.8468028,4.651907
2180,4315.8468028,4.676169
2190,4335.67278711,4.687913
