iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.10696657882,0.106920788438,0.887432749345,0.888435224012,0.0,0.0,0.026566,0.101273999975
10,0.0928803212173,0.0927849099202,0.887432749345,0.888435224012,0.0,0.0,0.251765,0.0939439999959
20,0.100598315128,0.10052765869,0.887432749345,0.888435224012,0.0,0.0,0.47358,0.10306399999
30,0.100599015006,0.100528495608,0.887432749345,0.888435224012,0.0,0.0,0.698839,0.0954410000079
40,0.100299820555,0.100228183254,0.887432749345,0.888435224012,0.0,0.0,0.927436,0.100419999982
50,0.100318781296,0.100247317826,0.887432749345,0.888435224012,0.0,0.0,1.151806,0.101500000014
60,0.100315792358,0.100244450555,0.887432749345,0.888435224012,0.0,0.0,1.499906,0.100102999986
70,0.100315174574,0.100243751905,0.887432749345,0.888435224012,0.0,0.0,1.706591,0.0999629999869
80,0.100315049021,0.10024316081,0.887432749345,0.888435224012,0.0,0.0,1.942133,0.0990779999988
90,0.10031366406,0.1002417757,0.887432749345,0.888435224012,0.0,0.0,2.165328,0.0938029999911
100,0.0990808975021,0.0990070084993,0.887432749345,0.888435224012,0.0,0.0,2.40664,0.0963640000114
110,0.0991007045005,0.099026347982,0.887432749345,0.888435224012,0.0,0.0,2.6266,0.0948319999845
120,0.100067143878,0.0999953191864,0.887432749345,0.888435224012,0.0,0.0,2.855474,0.0957179999868
130,0.100068476416,0.0999960927647,0.887432749345,0.888435224012,0.0,0.0,3.067058,0.0945349999804
140,0.100068238812,0.0999964779007,0.887432749345,0.888435224012,0.0,0.0,3.275235,0.0971400000083
150,0.100047747805,0.0999762146833,0.887432749345,0.888435224012,0.0,0.0,3.486199,0.0962359999994
160,0.10285190712,0.10278969957,0.887432749345,0.888435224012,0.0,0.0,3.698319,0.0977839999925
170,0.0950971692122,0.0950102060209,0.887432749345,0.888435224012,0.0,0.0,3.937797,0.0985849999654
180,0.0950960544312,0.0950090180851,0.887432749345,0.888435224012,0.0,0.0,4.159141,0.0970630000211
190,0.0950948096882,0.095007769816,0.887432749345,0.888435224012,0.0,0.0,4.394676,0.0965710000137
200,0.0934890034631,0.0933815778076,0.887432749345,0.888435224012,0.0,0.0,4.61639,0.098123000017
210,0.0954526455034,0.0953701043838,0.887432749345,0.888435224012,0.0,0.0,4.849035,0.100940999971
220,0.0934682485599,0.0933610234674,0.887432749345,0.888435224012,0.0,0.0,5.052136,0.124726000013
230,0.0934288530267,0.0933261268144,0.887432749345,0.888435224012,0.0,0.0,5.260723,0.105714999997
240,0.090509301387,0.0903961728261,0.887432749345,0.888435224012,0.0,0.0,5.482949,0.103022999983
250,0.0904892271712,0.0903774100789,0.887432749345,0.888435224012,0.0,0.0,5.703284,0.0988609999984
260,0.0904797136554,0.090367107473,0.887432749345,0.888435224012,0.0,0.0,5.930175,0.0957030000095
270,0.0906640268174,0.0905529188547,0.887432749345,0.888435224012,0.0,0.0,6.154599,0.101392000001
280,0.0904785688429,0.0903661707155,0.887432749345,0.888435224012,0.0,0.0,6.388737,0.103620000006
290,0.0904627693566,0.0903509501188,0.887432749345,0.888435224012,0.0,0.0,6.646623,0.10600299999
300,0.090452864389,0.0903457500609,0.887432749345,0.888435224012,0.0,0.0,6.865903,0.0978219999845
310,0.0904105804418,0.0903021347732,0.887432749345,0.888435224012,0.0,0.0,7.069265,0.0998350000202
320,0.0903971532892,0.0902875829352,0.887432749345,0.888435224012,0.0,0.0,7.281845,0.0944439999896
330,0.0921424951167,0.0920351043675,0.887432749345,0.888435224012,0.0,0.0,7.507001,0.0988850000058
340,0.0798641094261,0.0797172122324,0.887432749345,0.888435224012,0.0,0.0,7.71062,0.091960999978
350,0.0791956830804,0.0790445592077,0.887432749345,0.888435224012,0.0,0.0,7.927439,0.0933369999957
360,0.0791577219452,0.0790070306475,0.887432749345,0.888435224012,0.0,0.0,8.142378,0.0913439999883
370,0.0786357945787,0.0784813413817,0.887432749345,0.888435224012,0.0,0.0,8.367907,0.0931020000171
380,0.0786063460989,0.0784547104372,0.887432749345,0.888435224012,0.0,0.0,8.575642,0.0939740000372
390,0.0748829015504,0.0747111617047,0.887432749345,0.888435224012,0.0,0.0,8.797398,0.0915659999932
400,0.0748730921529,0.074702906552,0.887432749345,0.888435224012,0.0,0.0,9.02879,0.0921709999993
410,0.0748574692719,0.0746889702772,0.887432749345,0.888435224012,0.0,0.0,9.234061,0.0926480000171
420,0.0748574692719,0.0746889702772,0.887432749345,0.888435224012,0.0,0.0,9.452212,0.0922960000053
430,0.0748265512915,0.0746605808194,0.887432749345,0.888435224012,0.0,0.0,9.66274,0.100298999992
440,0.0752242586895,0.0750602861714,0.887432749345,0.888435224012,0.0,0.0,9.8838,0.0953640000162
450,0.0748224366069,0.0746575913756,0.887432749345,0.888435224012,0.0,0.0,10.095354,0.113052000003
460,0.074761945263,0.0745923834741,0.887432749345,0.888435224012,0.0,0.0,10.338788,0.0999580000221
470,0.0747514202828,0.0745841567215,0.887432749345,0.888435224012,0.0,0.0,10.546507,0.0946040000006
480,0.0742084515677,0.0740385352694,0.887432749345,0.888435224012,0.0,0.0,10.770869,0.0954199999987
490,0.0742079739762,0.0740399047476,0.887432749345,0.888435224012,0.0,0.0,10.977274,0.0934730000156
